JONGMOK_NM,UPJONG_PBR,JONGMOK_PBR,ROE_MEAN,MIN_VAL,MAX_VAL,GAP,GAP_RT,DIVIDEND
KG케미칼,30.8,0.81,15.33,3.27,3.29,0.02,0.61,1.68
한신공영,7.91,0.29,20.15,15.13,15.18,0.05,0.33,2.39
신대양제지,12.62,0.54,16.26,10.35,10.69,0.34,3.29,0.98
에스에이엠티,26.2,0.93,16.63,5.07,5.21,0.14,2.76,6.2
서희건설,7.91,0.65,19.88,7.93,7.94,0.01,0.13,2.61
솔브레인홀딩스,13.58,0.9,61.38,4.59,4.67,0.08,1.74,1.05
키움증권,3.96,0.73,20.0,25.45,25.49,0.04,0.16,2.37
한양이엔지,7.91,0.81,17.07,3.31,3.67,0.36,10.88,2.93
도이치모터스,-64.19,0.63,16.06,4.2,5.28,1.08,25.71,3.31
메리츠금융지주,3.96,0.39,15.06,7.59,8.44,0.85,11.2,9.17
